Date,"Total membership","Full Members",Guests,"Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs","Files uploaded","Messages posted by members",Name,"Public channels, single-workspace","Messages posted","Messages posted by apps"
2017-01-01,107,83,24,6,3,20,4,1,1,0,1,0.3333,0.3333,0.3333,0.7778,0.1111,0.1111,0,3,0,91,6,0
2017-01-02,107,83,24,14,4,24,6,46,1,0,13,0.7667,0.0167,0.2167,0.7857,0,0.2143,1,60,0,91,62,0
2017-01-03,107,83,24,23,10,31,13,23,0,0,42,0.3538,0,0.6462,0.6154,0.009,0.3756,1,65,0,91,117,46
2017-01-04,107,83,24,16,9,32,18,33,0,0,9,0.7857,0,0.2143,0.872,0,0.128,4,42,0,91,90,40
2017-01-05,107,83,24,21,12,34,21,61,0,0,45,0.5755,0,0.4245,0.7102,0.0032,0.2866,5,106,0,91,115,0
2017-01-06,107,83,24,18,8,34,22,11,14,0,6,0.3548,0.4516,0.1935,0.6746,0.1587,0.1667,4,31,0,91,42,4
2017-01-07,107,83,24,8,1,36,22,2,0,0,0,1,0,0,1,0,0,0,2,0,91,3,0
2017-01-08,107,83,24,10,4,37,22,7,0,0,1,0.875,0,0.125,0.9394,0,0.0606,1,8,0,91,10,0
2017-01-09,107,83,24,20,12,35,22,84,10,0,29,0.6829,0.0813,0.2358,0.7411,0.0939,0.165,0,123,0,91,132,0
2017-01-10,107,83,24,25,17,37,23,52,6,0,31,0.5843,0.0674,0.3483,0.7036,0.0536,0.2429,3,89,0,91,101,0
2017-01-11,107,83,24,20,8,39,22,22,1,0,18,0.5366,0.0244,0.439,0.6829,0.0366,0.2805,10,41,0,91,55,0
2017-01-12,107,83,24,24,14,40,24,45,1,0,21,0.6716,0.0149,0.3134,0.7795,0.0256,0.1949,0,67,0,91,71,0
2017-01-13,107,83,24,15,7,41,23,5,12,0,15,0.1563,0.375,0.4688,0.4351,0.2214,0.3435,1,32,0,91,37,0
2017-01-14,107,83,24,10,2,40,23,1,0,0,21,0.0455,0,0.9545,0.2639,0.0278,0.7083,2,22,0,91,25,0
2017-01-15,107,83,24,3,0,40,23,0,0,0,0,0,0,0,0.8,0,0.2,0,0,0,91,1,0
2017-01-16,107,83,24,5,2,38,23,1,0,0,2,0.3333,0,0.6667,0.5455,0,0.4545,0,3,0,91,6,0
2017-01-17,107,83,24,24,11,35,20,23,0,0,35,0.3966,0,0.6034,0.5714,0.0119,0.4167,2,58,0,91,63,0
2017-01-18,107,83,24,22,13,34,21,52,0,0,31,0.6265,0,0.3735,0.8299,0,0.1701,3,83,0,93,110,0
2017-01-19,107,83,24,22,12,35,20,33,0,0,10,0.7674,0,0.2326,0.9076,0,0.0924,3,43,0,93,49,0
2017-01-20,107,83,24,22,8,34,20,13,0,0,11,0.5417,0,0.4583,0.771,0,0.229,2,24,0,93,30,1
2017-01-21,108,84,24,12,1,33,20,1,0,0,0,1,0,0,0.9608,0,0.0392,0,1,0,93,6,0
2017-01-22,108,84,24,12,3,36,21,3,0,0,6,0.3333,0,0.6667,0.75,0,0.25,1,9,0,93,12,0
2017-01-23,108,84,24,26,16,41,28,23,0,0,32,0.4182,0,0.5818,0.6425,0,0.3575,1,55,0,93,59,0
2017-01-24,108,84,24,28,21,42,31,51,0,0,119,0.3,0,0.7,0.4739,0.002,0.5241,6,170,0,93,181,0
2017-01-25,108,84,24,28,13,43,30,38,3,0,34,0.5067,0.04,0.4533,0.6655,0.0102,0.3242,2,75,0,93,107,25
2017-01-26,109,85,24,36,22,46,32,85,1,0,35,0.7025,0.0083,0.2893,0.7995,0.0125,0.188,4,121,0,93,137,4
2017-01-27,109,85,24,36,19,47,33,59,22,0,87,0.3512,0.131,0.5179,0.6034,0.0865,0.3102,5,168,0,93,175,0
2017-01-28,109,85,24,13,7,47,33,7,0,0,11,0.3889,0,0.6111,0.5932,0,0.4068,1,18,0,93,20,0
2017-01-29,109,85,24,15,9,47,34,11,0,0,23,0.3235,0,0.6765,0.4894,0.0106,0.5,0,34,0,93,35,0
2017-01-30,109,85,24,25,13,47,33,106,27,0,46,0.5922,0.1508,0.257,0.6767,0.1419,0.1814,14,179,0,94,203,1
2017-01-31,109,85,24,32,19,46,33,43,2,0,214,0.166,0.0077,0.8263,0.3233,0.0067,0.67,8,259,0,94,273,0
2017-02-01,109,85,24,30,20,44,35,59,5,0,197,0.2261,0.0192,0.7548,0.4548,0.0123,0.5329,13,261,0,95,309,21
2017-02-02,111,87,24,34,21,48,38,70,3,0,109,0.3846,0.0165,0.5989,0.594,0.0223,0.3836,11,182,0,97,220,0
2017-02-03,121,97,24,45,28,59,45,118,2,0,66,0.6344,0.0108,0.3548,0.7745,0.0094,0.2161,13,186,0,98,275,0
2017-02-04,122,98,24,23,11,60,45,10,8,0,63,0.1235,0.0988,0.7778,0.3302,0.1274,0.5425,0,81,0,98,87,2
2017-02-05,122,98,24,22,11,60,46,15,0,0,39,0.2778,0,0.7222,0.634,0.0131,0.3529,7,54,0,98,63,0
2017-02-06,124,100,24,39,26,62,48,46,0,0,66,0.4107,0,0.5893,0.7149,0.0126,0.2725,11,112,0,98,141,0
2017-02-07,124,100,24,45,22,63,49,55,7,0,46,0.5093,0.0648,0.4259,0.6956,0.0402,0.2643,5,108,0,97,282,66
2017-02-08,126,102,24,42,33,63,52,118,2,0,267,0.3049,0.0052,0.6899,0.5112,0.0102,0.4786,10,387,0,100,430,1
2017-02-09,126,102,24,39,28,63,56,80,9,0,109,0.404,0.0455,0.5505,0.6154,0.0321,0.3526,9,198,0,100,223,1
2017-02-10,126,102,24,43,25,62,52,44,1,0,40,0.5176,0.0118,0.4706,0.7621,0.0243,0.2136,3,85,0,100,105,0
2017-02-11,126,102,24,16,7,62,52,3,1,0,8,0.25,0.0833,0.6667,0.566,0.0755,0.3585,1,12,0,100,14,0
2017-02-12,126,102,24,19,5,63,52,5,0,0,9,0.3571,0,0.6429,0.7241,0.0172,0.2586,0,14,0,100,15,0
2017-02-13,126,102,24,37,18,60,50,46,11,0,51,0.4259,0.1019,0.4722,0.663,0.0548,0.2822,1,108,0,100,117,0
2017-02-14,127,103,24,45,26,62,52,75,3,0,51,0.5814,0.0233,0.3953,0.7389,0.0243,0.2367,10,129,0,101,164,1
2017-02-15,128,104,24,42,22,63,47,96,1,0,79,0.5455,0.0057,0.4489,0.7479,0.0165,0.2355,8,176,0,101,201,1
2017-02-16,130,106,24,44,19,66,46,50,3,0,277,0.1515,0.0091,0.8394,0.3922,0.0113,0.5965,9,330,0,102,353,0
2017-02-17,130,106,24,45,30,66,48,69,2,0,169,0.2875,0.0083,0.7042,0.569,0.0156,0.4154,26,240,0,103,274,0
2017-02-18,130,106,24,27,12,66,50,24,0,0,26,0.48,0,0.52,0.7312,0.0108,0.2581,6,50,0,103,62,0
2017-02-19,130,106,24,19,8,67,50,20,3,0,5,0.7143,0.1071,0.1786,0.7909,0.1182,0.0909,0,28,0,103,35,0
2017-02-20,130,106,24,30,16,68,51,93,3,0,7,0.9029,0.0291,0.068,0.9121,0.0212,0.0667,3,103,0,103,115,0
2017-02-21,130,106,24,38,15,66,48,165,0,0,74,0.6904,0,0.3096,0.8153,0,0.1847,8,239,0,103,305,40
2017-02-22,130,106,24,37,27,63,49,77,0,0,51,0.6016,0,0.3984,0.7812,0.0024,0.2165,13,128,0,103,159,5
